"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";"";"H"
"1";"R8,R7";"805";"2";"10k";"";"k";""
"2";"JP8";"SMT-JUMPER_2_NC_TRACE_SILK";"1";"PULL UP SCL";"";"";""
"3";"JP7";"SMT-JUMPER_2_NC_TRACE_SILK";"1";"PULL UP SDA";"";"";""
"4";"JP4";"SMT-JUMPER_2_NC_TRACE_SILK";"1";"HEAT LED";"";"";""
"5";"JP2";"SMT-JUMPER_2_NC_TRACE_SILK";"1";"Power LED";"";"";""
"6";"JP5";"SMT-JUMPER_2_NC_TRACE_SILK";"1";"alert";"";"";""
"7";"U2";"SOT353";"1";"74HC1G04";"";"k";""
"8";"Q1";"SOT23-3";"1";"MOSFET_PCH-DMG2307L";"";"K";""
"9";"1uH";"805";"1";"INDUCTOR-0805-3.3UH";"";"K";""
"10";"1uF";"805";"1";"1.0UF-0805-25V-10%";"";"K";""
"11";"MICS6814";"MICS6814";"1";"MiCS-6814";"";"K";""
"12";"D2";"LED-0603";"1";"LED-RED1206";"";"K";""
"13";"R6,R1";"805";"2";"56k";"";"K";""
"14";"R5";"805";"1";"1K";"";"K";""
"15";"R4";"805";"1";"75R";"";"K";""
"16";"R3";"805";"1";"10R";"";"K";""
"17";"R2";"805";"1";"510R";"";"K";""
"18";"D1";"LED-0603";"1";"Power";"";"K";""
"19";"JP6";"SMT-JUMPER_3_1-NC_TRACE_SILK";"1";"VSW";"";"";""
"20";"JP3";"SMT-JUMPER_3_NO_SILK";"1";"ADDR2";"";"";""
"21";"JP1";"SMT-JUMPER_3_1-NC_TRACE_SILK";"1";"ADDR1";"";"";""
"22";"J2,J1";"1X04_1MM_RA";"2";"QWIIC_CONNECTORJS-1MM";"";"K";""
"23";"U1";"TSSOP-10_3x3mm_P0.5mm";"1";"ADS1115";"";"K";""